tool_slug,method,path,category,parent_scope,permission_evidence,doc_id,doc_url,contract_sha256
TIKTOK_ADS_FILE_NAME_CHECK,GET,/file/name/check,Creative Management,6,selected_export_category_plus_first_level_inheritance,1759130033155073,https://business-api.tiktok.com/portal/docs?id=1759130033155073,8cf8524f4c20e352dbe63042984da72f9d6a2b47d3faca25f47e3ac10427f725
TIKTOK_ADS_SMART_PLUS_AD_PREVIEW,POST,/smart_plus/ad/preview,Creative Management,6,selected_export_category_plus_first_level_inheritance,1843317445798914,https://business-api.tiktok.com/portal/docs?id=1843317445798914,a2e1f35b5c18fb30fef25b223d714209f509f2cbfb6ed9a48835615e28d7882f
TIKTOK_ADS_VIDEO_FIX_TASK_CREATE,POST,/video/fix/task/create,Creative Management,6,direct_permission_table_mapping,1741468875279361,https://business-api.tiktok.com/portal/docs?id=1741468875279361,b7189d9b691d363e2d02f9b396d592fc899ad1aefc90976994a6fce15c39819d
TIKTOK_ADS_VIDEO_FIX_TASK_GET,GET,/video/fix/task/get,Creative Management,6,direct_permission_table_mapping,1741469487859714,https://business-api.tiktok.com/portal/docs?id=1741469487859714,db0ece5e9ada2fb7dffa2ef2a12ac49b9852160ab2da0718f020ae2f4fdee2a8
TIKTOK_ADS_CATALOG_INSIGHT_PRODUCT_GET,GET,/catalog/insight/product/get,DPA Catalog Management,9,selected_export_category_plus_first_level_inheritance,1805640886872066,https://business-api.tiktok.com/portal/docs?id=1805640886872066,8d997a4bf89661ceb30c794a08020d416827c69e0399669f18f79972d20f784e
TIKTOK_ADS_CATALOG_SET_UPLOAD,POST,/catalog/set/upload,DPA Catalog Management,9,selected_export_category_plus_first_level_inheritance,1846770644217858,https://business-api.tiktok.com/portal/docs?id=1846770644217858,44256152228005bc37ef2d50e1b041953edde9575866321a3b5c6127153bbcd9
TIKTOK_ADS_CATALOG_VIDEO_FILE,POST,/catalog/video/file,DPA Catalog Management,9,selected_export_category_plus_first_level_inheritance,1803655037415489,https://business-api.tiktok.com/portal/docs?id=1803655037415489,56f110b548398f7257469a4e67eb172d068c9d5c6107f53278bc13af79740227
TIKTOK_ADS_CATALOG_VIDEO_GET,GET,/catalog/video/get,DPA Catalog Management,9,selected_export_category_plus_first_level_inheritance,1803655082498050,https://business-api.tiktok.com/portal/docs?id=1803655082498050,181c80df54aa42247a05dd7a9c44760421e304353af40355f7ae98e59148e9e7
TIKTOK_ADS_DIAGNOSTIC_CATALOG,GET,/diagnostic/catalog,DPA Catalog Management,9,direct_permission_table_mapping,1771117232728066,https://business-api.tiktok.com/portal/docs?id=1771117232728066,fba7db5edd98934e15bf79dfbde0b1370b854ea5b5ec62f0f679f53f93e2d50c
TIKTOK_ADS_DIAGNOSTIC_CATALOG_PRODUCT_TASK_CREATE,POST,/diagnostic/catalog/product/task/create,DPA Catalog Management,9,selected_export_category_plus_first_level_inheritance,1771117279175682,https://business-api.tiktok.com/portal/docs?id=1771117279175682,e607f404d890626f71027c07f1289b6a15c3ee5c7df8693c65938477b2e74c90
TIKTOK_ADS_DIAGNOSTIC_CATALOG_PRODUCT_TASK_GET,GET,/diagnostic/catalog/product/task/get,DPA Catalog Management,9,selected_export_category_plus_first_level_inheritance,1771117294731266,https://business-api.tiktok.com/portal/docs?id=1771117294731266,f24df2e0e8cb2a7c0570010cb7eb5d1cc377dd52ab923e29c7c44a59e9101622
TIKTOK_ADS_CREATIVE_FATIGUE_GET,GET,/creative_fatigue/get,Reporting,4,direct_permission_table_mapping,1767568466842626,https://business-api.tiktok.com/portal/docs?id=1767568466842626,6117eb0c814fc85b57770a4508d8f82d508f335ab64f8e43a02b65bbdc7b4672
TIKTOK_ADS_REPORT_AD_BENCHMARK_GET,GET,/report/ad_benchmark/get,Reporting,4,direct_permission_table_mapping,1738824501176321,https://business-api.tiktok.com/portal/docs?id=1738824501176321,fb0cdb7cde507263ec2c08973f297e9632a75f48deeed608376a8c2c97c4115f
TIKTOK_ADS_REPORT_VIDEO_PERFORMANCE_GET,GET,/report/video_performance/get,Reporting,4,direct_permission_table_mapping,1738825259075586,https://business-api.tiktok.com/portal/docs?id=1738825259075586,69b9e6a3040ca5480e586ea2cf04e90846b9de5be21ff6162240cc2cedc632f3
